finding_id,area,verdict,severity,required_stage,launch_blocker,evidence,disposition
S05,multicomponent asymmetry identification,REVISION_REQUIRED,high,before_implementation,TRUE,"Trend-seasonal skewed mechanism confounds component dynamics, time-varying scale, and asymmetry.",Add matched trend-seasonal Gaussian control or narrow the claim.
S06,component-specific evolution identification,REVISION_REQUIRED,medium,before_implementation,TRUE,True-W oracle is noncompetitive and does not isolate component-specific versus common evolution.,Add a common-evolution RQR-DLM ablation.
S07,structural stress interpretation,PASS_WITH_LIMITATION,low,nonblocking,FALSE,"Break, skewness, and heavy tails are combined deliberately.",Keep as composite stress and avoid separate causal claims.
S08,independent-root sensitivity response law,REVISION_REQUIRED,high,before_implementation,TRUE,Root paths alone do not define a response-generating distribution.,Map ordered roots to one shared mu_t and s_t response law before drawing Y_t; derive all coverage levels from that law.
S09,target-aligned endpoint error,REVISION_REQUIRED,high,before_implementation,TRUE,RQR roots and equal-tailed quantiles differ under asymmetry; a generic endpoint RMSE would mislabel a correct comparator.,Report target-aligned RMSE and label cross-target distances separately.
S10,coverage-width qualification,REJECT_CURRENT_RULE,critical,before_implementation,TRUE,Tolerance 0.01 + 1.96 MCSE grows with uncertainty and is not equivalence testing.,"Use Delta_C=0.02, 90% TOST qualification, paired width contrasts, and coverage-width frontiers."
S11,interval score role,PASS,none,none,FALSE,Central interval score is secondary with the equal-tailed-target caveat.,Retain; do not add RQR response log score or CRPS.
S12,dynamic quantile comparator,REVISION_REQUIRED,high,before_implementation,TRUE,"Engine, AL/exAL mode, inference method, prior/discount matching, crossing handling, and runtime source are not fully frozen.",Pin exdqlm 1.1.0 tarball or a validated native engine; use reduced DQLM MCMC and isolated runtime.
S13,static quantile comparator,REVISION_REQUIRED,medium,before_implementation,TRUE,The design leaves frequentist versus Bayesian implementation ambiguous.,Freeze one implementation and exact tuning contract.
S14,conformal comparator,SENSITIVITY_ONLY,none,nonblocking,FALSE,Ordinary CQR needs exchangeability; EnbPI and weighted methods require specific dependence/drift conditions.,Omit from core; include only on predeclared mechanisms with verified assumptions.
S15,discount tuning,REVISION_REQUIRED,medium,before_implementation,TRUE,"Grid exists but folds, component combinations, target-specific criterion, ties, budget, and refit rule are not frozen.",Freeze training-only tuning and equal search budgets.
S16,fixed learning rate,PASS_WITH_SENSITIVITY,none,none,FALSE,"Rate one after training standardization is a convention, not calibration.",Keep fixed rate primary and 0.5/1/2 plus learned normalized rate as sensitivity.
S17,replication MCSE bounds,PASS_WITH_CLARIFICATION,medium,before_diagnostic_pilot,TRUE,MCSE 0.01 needs about 1600 reps at 0.80 and 900 at 0.90; 25-rep pilot cannot support performance.,Retain 500/250/2500 precision-only scheme and clarify scale-specific MCSE targets.
S18,diagnostic pilot definition,REVISION_REQUIRED,high,before_diagnostic_pilot,TRUE,It is unclear whether every one of 25 pilot replications has four chains.,Use at least two preselected four-chain replications per core cell/method; use remaining pilot runs for planning.
S19,confirmatory one-chain fits,CONDITIONAL_PASS,medium,before_confirmatory,TRUE,One chain can be feasible after bounded validation only with within-chain gates and stratified multichain sentinels.,Require ESS/finite/repair/provenance checks and 5% preselected sentinels with per-batch minima.
S20,future root forecast estimand,REVISION_REQUIRED,critical,before_implementation,TRUE,RMSE to realized future roots confounds a conditional-mean forecast with irreducible state innovation.,Store conditional-mean oracle and realized root path separately.
S21,empirical response coverage,PASS_WITH_LANGUAGE,none,none,FALSE,Coverage of the posterior-mean point interval is a valid repeated-sampling operating characteristic.,Do not call it posterior-predictive or credible-interval coverage.
S22,reproducibility architecture,CONDITIONAL_PASS,high,before_diagnostic_pilot,TRUE,"Seed, atomic output, failure, attestation, and hash principles are sound but schemas and fault tests are not implemented.",Implement preflight/oracle/tiny fixture and fail-closed gates; keep execution flags false.
S23,manuscript statistical interpretation,PASS,none,none,FALSE,"Main and supplement preserve generalized-Bayes, pseudo-AL, FFBS, adaptive-discount, lambda, and response-draw distinctions.",No immediate manuscript target patch.
D01,bounded decision,ACCEPTED_WITH_NONBLOCKING_CORRECTIONS,none,final,FALSE,Compact evidence supports the bounded claims within its declared evidence boundary.,No rerun.
D02,preliminary simulation decision,B,high,final,TRUE,Design has no fatal target defect but requires specified revisions before implementation.,Revise design and reference contracts first.
D03,confirmatory simulation,NO_GO,critical,final,TRUE,"No diagnostic pilot, frozen schedule, final reference bundle, or authorization exists.",Do not run.
D04,CAVI/ELBO and RQR-DESN,DEFER,none,final,FALSE,Both remain outside current RQR-DLM MCMC scope.,Do not start in this pass.
